Lun,Mar,Mer,Gio,Ven
Analisi: A,_,_,Arch.: Turing,Analisi: A
Analisi: A,_,_,Arch.: Turing,Analisi: A
Arch.: A,_,Prog. II: A,Arch.: Turing,Prog. II: A
Arch.: A,Pranzo,Prog. II: A, Pranzo,Prog. II: A
Pranzo,Prog. II: A,Pranzo, Arch.: A, Pranzo
_,Prog. II: A,Prog. II: Turing,Arch.: A,Analisi: A
_,Analisi: A,Prog. II: Turing,Analisi: A, Analisi: A
_,Analisi: A,Prog. II: Turing,Analisi: A,_
_,_,Inglese I: C,_,_
_,_,Inglese I: C,_,_
