Lun,Mar,Mer,Gio,Ven
Arch.: Turing,Analisi: B,_,Analisi: B,Analisi: B
Arch.: Turing,Analisi: B,_,Analisi: B,Analisi: B
Arch.: Turing,Prog. II: B,_,Arch.: B,Prog. II: B
Pranzo, Prog. II; B,Pranzo,Arch.: B,Prog. II: B
Arch.: B,Pranzo,Arch.: B,Pranzo,Pranzo
Arch.: B,_,Arch.: B,Prog. II: Turing,Analisi: A
Analisi: B,_,_,Prog. II: Turing,Analisi: A
Analisi: B,_,Inglese I: C,Prog. II: Turing,_
_,_,Inglese I: C,_,_
_,_,Inglese I: C,_,_
