Lun,Mar,Mer,Gio,Ven
_,Analisi: B,Prog. II: Turing,Analisi: B,Analisi: B
_,Analisi: B,Prog. II: Turing,Analisi: B,Analisi: B
_,Prog. II: B,Prog. II: Turing,Arch.: B,Prog. II: B
Pranzo, Prog. II; B,Pranzo,Arch.: B,Prog. II: B
Arch.: B,Pranzo,Arch.: B,Pranzo,Pranzo
Arch.: B,Arch.: Turing,Arch.: B,_,Analisi: A
Analisi: B,Arch.: Turing,_,_,Analisi: A
Analisi: B,Arch.: Turing,Inglese I: C,_,_
_,_,Inglese I: C,_,_
_,_,Inglese I: C,_,_
