Lun,Mar,Mer,Gio,Ven
Algoritmi: D,Fisica: D,Fisica: D,Database: Von Neumann,_
Algoritmi: D,Fisica: D,Fisica: D,Database: Von Neumann,_
Database: D,Database: D,Algoritmi: D,Database: Von Neumann,Algoritmi: D
Database: D,Database: D,Algoritmi: D,Pranzo,Algoritmi: D
Pranzo,Pranzo,Pranzo,Algoritmi: Von Neumann,Pranzo
Economia: A,Economia: B,Diritto: A,Algoritmi: Von Neumann,Database: D
Economia: A,Economia: B,Diritto: A,Algoritmi: Von Neumann,Database: D
Economia: A,Fisica: B,Diritto: A,_,_
_,Fisica: B,_,_,_
