Lun,Mar,Mer,Gio,Ven
_,Fisica: D,Fisica: D,Algoritmi: Dijkstra,Fisica: D
_,Fisica: D,Fisica: D,Algoritmi: Dijkstra,Fisica: D
_,Database: D,Algoritmi: D,Algoritmi: Dijkstra,Algoritmi: D
_,Database: D,Algoritmi: D,Pranzo,Algoritmi: D
Pranzo,Pranzo,Pranzo,Database: Dijkstra,Pranzo
Economia: A,Economia: B,Diritto: A,Database: Dijkstra,Database: D
Economia: A,Economia: B,Diritto: A,Database: Dijkstra,Database: D
Economia: A,Fisica: B,Diritto: A,_,_
_,Fisica: B,_,_,_
