Lun,Mar,Mer,Gio,Ven
Analisi: A,Arch.: Turing,_,_,Analisi: A
Analisi: A,Arch.: Turing,_,_,Analisi: A
Arch.: A,Arch.: Turing,Arch.: A,_,Prog. II: A
Arch.: A,Pranzo,Arch.: A, Pranzo,Prog. II: A
Pranzo,Prog. II: A,Pranzo, Arch.: A, Pranzo
Prog. II: Turing,Prog. II: A,_,Arch.: A,Analisi: A
Prog. II: Turing,Analisi: A,_,Analisi: A, Analisi: A
Prog. II: Turing,Analisi: A,Inglese I: C,Analisi: A,_
_,_,Inglese I: C,_,_
_,_,Inglese I: C,_,_
